query_text,emotion,intent,urgency,stress_index,escalation_count
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,90,1
Your system charged my credit card twice and now I have a negative balance. Reverse this immediately or I am reporting it!,angry,payment_issue,critical,91,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,65,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,62,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,67,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,62,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,68,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,66,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,68,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,64,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,70,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,65,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,68,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,61,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,65,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,69,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,61,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,70,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,0
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,60,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,61,2
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,70,1
Why is my account locked? I am trying to log in but it says password mismatch and won't let me send a recovery link.,frustrated,account_recovery,high,63,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,72,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,76,3
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,74,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,68,3
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,73,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,67,3
I cannot access my dashboard. The login page keeps looping back with credential mismatch bug Please help ASAP.,frustrated,account_recovery,high,67,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch bug Please help ASAP.,frustrated,account_recovery,high,70,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,74,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,71,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,68,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch mismatch Please help ASAP.,frustrated,account_recovery,high,68,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch mismatch Please help ASAP.,frustrated,account_recovery,high,67,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch fail Please help ASAP.,frustrated,account_recovery,high,69,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,70,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch fail Please help ASAP.,frustrated,account_recovery,high,73,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch glitch Please help ASAP.,frustrated,account_recovery,high,74,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,75,3
I cannot access my dashboard. The login page keeps looping back with credential mismatch fail Please help ASAP.,frustrated,account_recovery,high,70,2
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,67,3
I cannot access my dashboard. The login page keeps looping back with credential mismatch bug Please help ASAP.,frustrated,account_recovery,high,72,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch error. Please help ASAP.,frustrated,account_recovery,high,74,3
I cannot access my dashboard. The login page keeps looping back with credential mismatch mismatch Please help ASAP.,frustrated,account_recovery,high,69,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch bug Please help ASAP.,frustrated,account_recovery,high,69,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch fail Please help ASAP.,frustrated,account_recovery,high,73,1
I cannot access my dashboard. The login page keeps looping back with credential mismatch mismatch Please help ASAP.,frustrated,account_recovery,high,70,3
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,80,1
I want a full money back I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,81,2
I want a full cash return I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,79,0
I want a full cash return I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,78,1
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,85,2
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,80,0
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,84,2
I want a full money back I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,83,0
I want a full reimbursement I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,80,0
I want a full cash return I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,79,0
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,83,2
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,85,2
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,83,1
I want a full money back I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,77,1
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,76,2
I want a full cash return I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,79,2
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,80,0
I want a full cash return I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,83,1
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,75,0
I want a full cash return I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,75,0
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,77,2
I want a full reimbursement I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,82,2
I want a full money back I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,76,0
I want a full reimbursement I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,83,0
I want a full reimbursement I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,81,0
I want a full refund. I signed up yesterday but your interface is completely buggy and does not sync.,angry,refund_request,high,80,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,78,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a reimbursement right away.,angry,refund_request,high,83,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a cash return right away.,angry,refund_request,high,81,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a reimbursement right away.,angry,refund_request,high,76,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a reimbursement right away.,angry,refund_request,high,79,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,78,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a reimbursement right away.,angry,refund_request,high,77,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a money back right away.,angry,refund_request,high,79,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a reimbursement right away.,angry,refund_request,high,76,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,76,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,76,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,74,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,81,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a cash return right away.,angry,refund_request,high,73,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a cash return right away.,angry,refund_request,high,75,2
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a cash return right away.,angry,refund_request,high,73,0
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a cash return right away.,angry,refund_request,high,78,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a money back right away.,angry,refund_request,high,79,2
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,73,2
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,81,2
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a reimbursement right away.,angry,refund_request,high,78,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,83,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a money back right away.,angry,refund_request,high,77,2
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,79,1
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,77,2
This billing is wrong! You billed me for the enterprise plan instead of the trial. I want a refund right away.,angry,refund_request,high,79,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,68,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,69,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,65,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,72,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,69,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,63,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,67,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,69,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,72,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,68,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,70,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,73,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,71,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,65,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,64,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,71,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,73,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,68,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,66,3
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,67,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,66,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,63,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,66,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,72,1
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,70,2
Where is my order? The tracking number you sent says it hasn't even shipped yet. I need it by tomorrow.,frustrated,order_tracking,high,73,3
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,50,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,51,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,47,2
I would like to terminate my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,51,0
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,53,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,48,0
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,2
I would like to stop my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,2
I would like to deactivate my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,53,1
I would like to deactivate my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,1
I would like to stop my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,53,1
I would like to stop my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,0
I would like to close my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,49,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,53,0
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,48,1
I would like to close my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,46,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,53,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,48,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,54,2
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,54,1
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,50,1
I would like to deactivate my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,53,2
I would like to close my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,0
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,0
I would like to cancel my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,55,2
I would like to close my subscription immediately. The service does not work as advertised.,frustrated,cancellation,medium,52,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,20,0
Please terminate my account and delete my credit card info from your servers.,neutral,cancellation,medium,21,1
Please terminate my account and delete my credit card info from your servers.,neutral,cancellation,medium,16,1
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,22,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,21,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,20,0
Please deactivate my account and delete my credit card info from your servers.,neutral,cancellation,medium,19,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,16,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,23,0
Please stop my account and delete my credit card info from your servers.,neutral,cancellation,medium,18,1
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,25,0
Please close my account and delete my credit card info from your servers.,neutral,cancellation,medium,18,0
Please close my account and delete my credit card info from your servers.,neutral,cancellation,medium,17,0
Please close my account and delete my credit card info from your servers.,neutral,cancellation,medium,22,1
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,20,0
Please terminate my account and delete my credit card info from your servers.,neutral,cancellation,medium,17,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,15,0
Please deactivate my account and delete my credit card info from your servers.,neutral,cancellation,medium,21,1
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,24,1
Please close my account and delete my credit card info from your servers.,neutral,cancellation,medium,16,1
Please terminate my account and delete my credit card info from your servers.,neutral,cancellation,medium,24,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,21,1
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,23,1
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,21,0
Please cancel my account and delete my credit card info from your servers.,neutral,cancellation,medium,20,1
Please deactivate my account and delete my credit card info from your servers.,neutral,cancellation,medium,17,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,30,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,27,1
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,33,1
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,29,1
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,33,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,32,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,34,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,30,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,26,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,32,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,32,1
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,34,1
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,31,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,25,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,30,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,32,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,30,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,30,0
"Hello! I am trying to integrate the webhook, but the payload format in your docs doesn't match the event response.",confused,technical_support,medium,34,1
